Estimate Status,Year,Fishing Year,Fishing Mode,Cumulative Through,PSE,Does Angler Trips Meet MRIP Standard,Is Angler Trips Significantly Different From 0,Angler Trips,Angler Trips Lower 95% Confidence Limit,Angler Trips Upper 95% Confidence Limit
FINAL,1981,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,6.2,YES,YES,"4,946,105","4,345,055","5,547,156"
FINAL,1981,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,12.8,YES,YES,"572,195","428,642","715,747"
FINAL,1981,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,7.8,YES,YES,"3,473,142","2,942,168","4,004,116"
FINAL,1982,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,6.4,YES,YES,"5,276,698","4,614,789","5,938,607"
FINAL,1982,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,17.1,YES,YES,"850,619","565,526","1,135,712"
FINAL,1982,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6,YES,YES,"3,253,429","2,870,826","3,636,033"
FINAL,1983,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.9,YES,YES,"4,897,279","4,330,958","5,463,600"
FINAL,1983,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,15.3,YES,YES,"961,841","673,404","1,250,279"
FINAL,1983,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"3,539,071","3,143,686","3,934,456"
FINAL,1984,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.8,YES,YES,"4,788,507","4,244,149","5,332,864"
FINAL,1984,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,20.8,YES,YES,"805,019","476,829","1,133,209"
FINAL,1984,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.6,YES,YES,"3,491,374","3,039,730","3,943,019"
FINAL,1985,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,6.2,YES,YES,"4,460,424","3,918,393","5,002,454"
FINAL,1985,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,13.7,YES,YES,"536,978","392,789","681,168"
FINAL,1985,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"3,656,542","3,248,033","4,065,051"
FINAL,1986,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.4,YES,YES,"4,254,483","3,804,189","4,704,777"
FINAL,1986,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,10.1,YES,YES,"684,512","549,006","820,018"
FINAL,1986,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.1,YES,YES,"3,772,930","3,395,788","4,150,072"
