"","Estimate.Status","Year","Fishing.Year","Fishing.Mode","Fishing.Area","Cumulative.Through","PSE","Does.Angler.Trips.Meet.MRIP.Standard","Is.Angler.Trips.Significantly.Different.From.0","Angler.Trips","Angler.Trips.Lower.95..Confidence.Limit","Angler.Trips.Upper.95..Confidence.Limit"
"1","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",37.6,"CAUTION","YES","161,983","42,608","281,359"
"2","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.3,"YES","YES","4,784,122","4,193,379","5,374,866"
"3","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",23.6,"YES","YES","138,644","74,513","202,775"
"4","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",20.1,"YES","YES","261,971","158,765","365,178"
"5","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",22.9,"YES","YES","171,579","94,568","248,591"
"6","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",39,"CAUTION","YES","298,967","70,437","527,498"
"7","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",38.3,"CAUTION","YES","382,249","95,302","669,196"
"8","FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",7.1,"YES","YES","2,791,926","2,403,401","3,180,450"
"9","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",40.8,"CAUTION","YES","185,242","37,108","333,376"
"10","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.4,"YES","YES","5,091,456","4,452,784","5,730,129"
"11","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",60.2,"NO","NO","75,863","0","165,375"
"12","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",29.7,"YES","YES","256,177","107,051","405,303"
"13","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",22.3,"YES","YES","518,579","291,919","745,240"
"14","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",25.1,"YES","YES","224,118","113,861","334,376"
"15","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",23.6,"YES","YES","275,088","147,844","402,333"
"16","FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.3,"YES","YES","2,754,223","2,414,131","3,094,314"
"17","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",46.9,"CAUTION","YES","35,964","2,905","69,024"
"18","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.9,"YES","YES","4,861,315","4,299,152","5,423,477"
"19","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",39.1,"CAUTION","YES","168,580","39,387","297,774"
"20","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",24.5,"YES","YES","201,465","104,722","298,209"
"21","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",20.6,"YES","YES","591,796","352,853","830,740"
"22","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",28.6,"YES","YES","90,837","39,918","141,757"
"23","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",36.5,"CAUTION","YES","222,595","63,351","381,839"
"24","FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.7,"YES","YES","3,225,639","2,865,271","3,586,007"
"25","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",27.6,"YES","YES","200,112","91,859","308,365"
"26","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6,"YES","YES","4,588,395","4,048,799","5,127,990"
"27","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",36.9,"CAUTION","YES","195,972","54,237","337,707"
"28","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",77.8,"NO","NO","88,443","0","223,309"
"29","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",25.7,"YES","YES","520,603","258,365","782,841"
"30","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",32.9,"CAUTION","YES","219,144","77,831","360,456"
"31","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",29.2,"YES","YES","304,347","130,163","478,531"
"32","FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.7,"YES","YES","2,967,884","2,578,141","3,357,626"
"33","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",26.4,"YES","YES","395,813","191,004","600,623"
"34","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.3,"YES","YES","4,064,610","3,562,712","4,566,508"
"35","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",24.9,"YES","YES","122,690","62,812","182,568"
"36","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",34.9,"CAUTION","YES","38,558","12,183","64,932"
"37","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",17.5,"YES","YES","375,731","246,855","504,607"
"38","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",21.1,"YES","YES","285,858","167,638","404,077"
"39","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",23.9,"YES","YES","363,444","193,192","533,696"
"40","FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.9,"YES","YES","3,007,240","2,659,483","3,354,997"
"41","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",23.6,"YES","YES","201,564","108,329","294,800"
"42","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.5,"YES","YES","4,052,918","3,616,014","4,489,823"
"43","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",22.7,"YES","YES","121,255","67,306","175,204"
"44","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",18,"YES","YES","102,870","66,578","139,163"
"45","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",13.2,"YES","YES","460,387","341,276","579,499"
"46","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",14,"YES","YES","334,859","242,974","426,744"
"47","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",15.5,"YES","YES","570,255","397,012","743,499"
"48","FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.7,"YES","YES","2,867,816","2,547,424","3,188,209"
"49","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",24.3,"YES","YES","281,063","147,199","414,928"
"50","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.8,"YES","YES","4,119,615","3,651,297","4,587,933"
"51","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",17.4,"YES","YES","229,340","151,126","307,555"
"52","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",17.3,"YES","YES","143,024","94,527","191,520"
"53","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",17.7,"YES","YES","351,112","229,304","472,920"
"54","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",16.2,"YES","YES","801,826","547,231","1,056,422"
"55","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",23.1,"YES","YES","550,248","301,118","799,379"
"56","FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",8.4,"YES","YES","2,338,153","1,953,200","2,723,107"
"57","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",25.7,"YES","YES","352,465","174,921","530,008"
"58","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.8,"YES","YES","4,209,697","3,731,138","4,688,255"
