Estimate Status,Year,Fishing Year,Fishing Mode,Cumulative Through,PSE,Does Angler Trips Meet MRIP Standard,Is Angler Trips Significantly Different From 0,Angler Trips,Angler Trips Lower 95% Confidence Limit,Angler Trips Upper 95% Confidence Limit
FINAL,1981,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,37.6,CAUTION,YES,161983,42608,281359
FINAL,1981,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,15.5,YES,YES,400615,278908,522322
FINAL,1981,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,27.5,YES,YES,681217,314041,1048393
FINAL,1982,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,40.8,CAUTION,YES,185242,37108,333376
FINAL,1982,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,26.7,YES,YES,332040,158277,505803
FINAL,1982,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,17.2,YES,YES,499207,330914,667499
FINAL,1983,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,46.9,CAUTION,YES,35964,2905,69024
FINAL,1983,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,22.3,YES,YES,370045,208306,531785
FINAL,1983,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,27.2,YES,YES,313432,146335,480529
FINAL,1984,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,27.6,YES,YES,200112,91859,308365
FINAL,1984,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,35.1,CAUTION,YES,284416,88749,480083
FINAL,1984,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,21.9,YES,YES,523491,298788,748194
FINAL,1985,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,26.4,YES,YES,395813,191004,600623
FINAL,1985,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,20.7,YES,YES,161248,95826,226669
FINAL,1985,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,16.3,YES,YES,649302,441863,856741
FINAL,1986,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,23.6,YES,YES,201564,108329,294800
FINAL,1986,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,14.8,YES,YES,224125,159111,289139
FINAL,1986,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.1,YES,YES,905114,708197,1102031
FINAL,1987,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,24.3,YES,YES,281063,147199,414928
FINAL,1987,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,12.6,YES,YES,372364,280405,464323
FINAL,1987,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13.4,YES,YES,1352075,996966,1707184
FINAL,1988,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,25.7,YES,YES,352465,174921,530008
FINAL,1988,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,19,YES,YES,365773,229559,501986
FINAL,1988,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,10.8,YES,YES,1262658,995379,1529938
FINAL,1989,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,18.8,YES,YES,412668,260608,564729
FINAL,1989,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,15.3,YES,YES,240256,168208,312304
FINAL,1989,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,10.1,YES,YES,949867,761831,1137903
FINAL,1990,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,15.6,YES,YES,639441,443925,834956
FINAL,1990,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,16.3,YES,YES,207152,140971,273333
FINAL,1990,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,7.5,YES,YES,1321364,1127123,1515604
FINAL,1991,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,17.7,YES,YES,317502,207354,427649
FINAL,1991,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,21,YES,YES,245009,144163,345855
FINAL,1991,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,8.3,YES,YES,723144,605503,840785
FINAL,1992,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,21.1,YES,YES,238894,140097,337690
FINAL,1992,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,16.8,YES,YES,196169,131575,260764
FINAL,1992,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,8.5,YES,YES,711378,592862,829894
FINAL,1993,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,16.8,YES,YES,321411,215577,427246
FINAL,1993,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,15.1,YES,YES,250385,176281,324489
FINAL,1993,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,9.1,YES,YES,836160,687022,985297
FINAL,1994,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,23.5,YES,YES,227512,122720,332304
FINAL,1994,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,16.8,YES,YES,248212,166481,329943
FINAL,1994,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11,YES,YES,699026,548316,849737
FINAL,1995,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,30.7,CAUTION,YES,175378,69850,280907
FINAL,1995,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,12.3,YES,YES,230524,174949,286099
FINAL,1995,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,14.3,YES,YES,925550,666137,1184963
FINAL,1996,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,32.4,CAUTION,YES,284204,103723,464685
FINAL,1996,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,15.3,YES,YES,176297,123429,229165
FINAL,1996,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,14.2,YES,YES,837865,604671,1071060
FINAL,1997,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,22.4,YES,YES,456006,255801,656211
FINAL,1997,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,15.6,YES,YES,190091,131969,248213
FINAL,1997,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13.1,YES,YES,985390,732381,1238398
FINAL,1998,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,34.6,CAUTION,YES,309407,99580,519234
FINAL,1998,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,18.6,YES,YES,97444,61920,132969
FINAL,1998,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,14.7,YES,YES,774401,551280,997521
FINAL,1999,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,28.5,YES,YES,281462,124237,438686
FINAL,1999,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,19.8,YES,YES,121221,74178,168265
FINAL,1999,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,12,YES,YES,1295086,990482,1599691
FINAL,2000,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,20.4,YES,YES,826705,496155,1157255
FINAL,2000,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,17.8,YES,YES,192130,125100,259161
FINAL,2000,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.2,YES,YES,1698487,1325635,2071339
FINAL,2001,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,15,YES,YES,1479881,1044796,1914965
FINAL,2001,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,17.1,YES,YES,199077,132354,265799
FINAL,2001,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11,YES,YES,1236555,969954,1503157
FINAL,2002,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,15,YES,YES,1724472,1217477,2231467
FINAL,2002,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,12.5,YES,YES,189451,143035,235866
FINAL,2002,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.6,YES,YES,1746902,1349727,2144078
FINAL,2003,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,13.5,YES,YES,1609904,1183923,2035885
FINAL,2003,Calendar Year (Jan 1 - Dec 31),PARTY/CHARTER BOAT,ANNUAL,13.7,YES,YES,198166,144955,251378
FINAL,2003,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,8.7,YES,YES,2141575,1776394,2506756
FINAL,2004,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,24.9,YES,YES,1820310,931926,2708695
FINAL,2004,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,20.3,YES,YES,108866,65551,152182
FINAL,2004,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,18.6,YES,YES,81773,51962,111584
FINAL,2004,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.3,YES,YES,1682400,1309782,2055018
FINAL,2005,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,15.6,YES,YES,3084590,2141446,4027735
FINAL,2005,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,12.6,YES,YES,64854,48838,80870
FINAL,2005,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,24.2,YES,YES,111639,58686,164591
FINAL,2005,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,15.7,YES,YES,2170054,1502285,2837823
FINAL,2006,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,18.4,YES,YES,1926662,1231831,2621493
FINAL,2006,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,10.4,YES,YES,72135,57431,86838
FINAL,2006,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,8.3,YES,YES,62352,52209,72496
FINAL,2006,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,12.3,YES,YES,2017316,1530981,2503650
FINAL,2007,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,17.7,YES,YES,2037317,1330531,2744103
FINAL,2007,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,6.7,YES,YES,160658,139561,181756
FINAL,2007,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,7.8,YES,YES,165992,140615,191369
FINAL,2007,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11,YES,YES,1792684,1406181,2179186
FINAL,2008,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,18.1,YES,YES,2267168,1462868,3071469
FINAL,2008,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,6.8,YES,YES,117216,101593,132838
FINAL,2008,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,4.9,YES,YES,79851,72183,87520
FINAL,2008,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,10.2,YES,YES,1972693,1578312,2367073
FINAL,2009,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,21.4,YES,YES,1251834,726765,1776903
FINAL,2009,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,2.9,YES,YES,96403,90923,101882
FINAL,2009,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,8.7,YES,YES,85012,70516,99509
FINAL,2009,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.8,YES,YES,1527624,1174315,1880933
FINAL,2010,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,21.9,YES,YES,1065557,608177,1522936
FINAL,2010,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,2.6,YES,YES,87140,82699,91581
FINAL,2010,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,5.3,YES,YES,99612,89264,109959
FINAL,2010,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,10.9,YES,YES,1571891,1236072,1907710
FINAL,2011,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,23.2,YES,YES,1306528,712423,1900632
FINAL,2011,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,2.9,YES,YES,103774,97876,109673
FINAL,2011,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,4.2,YES,YES,144285,132408,156163
FINAL,2011,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.6,YES,YES,1649716,1274637,2024796
FINAL,2012,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,22.5,YES,YES,1276771,713715,1839826
FINAL,2012,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,2.7,YES,YES,94511,89509,99513
FINAL,2012,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,5,YES,YES,126781,114356,139205
FINAL,2012,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,12.2,YES,YES,1391225,1058555,1723895
FINAL,2013,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,17.1,YES,YES,2128787,1415303,2842271
FINAL,2013,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,3.3,YES,YES,146777,137283,156270
FINAL,2013,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,4.1,YES,YES,128244,117939,138550
FINAL,2013,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,14.1,YES,YES,1921260,1390301,2452220
FINAL,2014,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,25.7,YES,YES,2204801,1094199,3315404
FINAL,2014,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,1.4,YES,YES,121089,117766,124411
FINAL,2014,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,8.6,YES,YES,132566,110221,154912
FINAL,2014,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13.7,YES,YES,2605400,1905798,3305002
FINAL,2015,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,21,YES,YES,1476135,868558,2083712
FINAL,2015,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,2.8,YES,YES,150124,141885,158363
FINAL,2015,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,3.8,YES,YES,204322,189104,219539
FINAL,2015,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,14.4,YES,YES,1856276,1332361,2380192
FINAL,2016,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,27.1,YES,YES,949490,445159,1453821
FINAL,2016,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,4,YES,YES,107855,99400,116311
FINAL,2016,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,6.9,YES,YES,67524,58392,76656
FINAL,2016,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,11.8,YES,YES,2466128,1895762,3036494
FINAL,2017,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,28.1,YES,YES,804543,361433,1247654
FINAL,2017,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,6.2,YES,YES,130240,114414,146067
FINAL,2017,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,8.9,YES,YES,36941,30497,43386
FINAL,2017,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,17,YES,YES,1842247,1228410,2456084
FINAL,2018,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,32,CAUTION,YES,665268,248012,1082524
FINAL,2018,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,5.2,YES,YES,102997,92499,113494
FINAL,2018,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,9.6,YES,YES,27269,22138,32399
FINAL,2018,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,18.7,YES,YES,1265062,801392,1728733
FINAL,2019,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,28,YES,YES,1309966,591056,2028875
FINAL,2019,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,6.7,YES,YES,140907,122403,159411
FINAL,2019,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,16.7,YES,YES,13618,9161,18076
FINAL,2019,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13,YES,YES,2034157,1515854,2552460
FINAL,2020,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,25.6,YES,YES,1505763,750231,2261294
FINAL,2020,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,5.2,YES,YES,142003,127530,156475
FINAL,2020,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,13.1,YES,YES,15238,11325,19150
FINAL,2020,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13.4,YES,YES,1339453,987659,1691247
FINAL,2021,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,27.2,YES,YES,1349457,630034,2068879
FINAL,2021,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,4.3,YES,YES,119303,109248,129358
FINAL,2021,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,12.1,YES,YES,84644,64570,104718
FINAL,2021,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,16,YES,YES,864507,593398,1135617
FINAL,2022,Calendar Year (Jan 1 - Dec 31),SHORE,ANNUAL,28.9,YES,YES,1490369,646165,2334574
FINAL,2022,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,ANNUAL,3.3,YES,YES,110065,102946,117184
FINAL,2022,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,ANNUAL,11.2,YES,YES,53931,42092,65771
FINAL,2022,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,ANNUAL,13.9,YES,YES,1711156,1244969,2177344
PRELIMINARY,2023,Calendar Year (Jan 1 - Dec 31),SHORE,WAVE 5,23.7,YES,YES,1293306,692539,1894072
PRELIMINARY,2023,Calendar Year (Jan 1 - Dec 31),PARTY BOAT,WAVE 5,3.9,YES,YES,82564,76252,88875
PRELIMINARY,2023,Calendar Year (Jan 1 - Dec 31),CHARTER BOAT,WAVE 5,13.6,YES,YES,29615,21721,37510
PRELIMINARY,2023,Calendar Year (Jan 1 - Dec 31),PRIVATE/RENTAL BOAT,WAVE 5,15.4,YES,YES,839026,585774,1092277
