,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1974,"HAKE, WHITE","6,900",3,"1,442","6,933",Public,Commercial
1974,HARVESTFISHES **,"797,200",362,"300,285","1,443,678",Public,Commercial
1974,"HERRING, ATLANTIC","15,600",7,936,"4,500",Public,Commercial
1974,"HERRING, LAKE OR CISCO",75,0,32,154,Public,Commercial
1974,KINGFISHES **,900,0,163,784,Public,Commercial
1974,"LANCE, AMERICAN SAND","5,600",3,555,"2,668",Public,Commercial
1974,"LOBSTER, AMERICAN","730,600",331,"1,395,867","6,710,899",Public,Commercial
1974,"MACKEREL, ATLANTIC","321,900",146,"39,181","188,370",Public,Commercial
1974,MENHADENS **,"576,300",261,"17,480","84,038",Public,Commercial
1974,"MUSSEL, SEA","483,300",219,"205,013","985,639",Public,Commercial
1974,"OYSTER, EASTERN","1,554,100",705,"3,748,735","18,022,764",Public,Commercial
1974,"PERCH, WHITE","209,870",95,"50,986","245,125",Public,Commercial
1974,"PERCH, YELLOW","223,539",101,"76,580","368,174",Public,Commercial
1974,PIKES **,"4,110",2,624,"3,000",Public,Commercial
1974,POLLOCK,"7,000",3,"1,001","4,813",Public,Commercial
1974,PORGIES **,"3,634,500","1,649","851,945","4,095,889",Public,Commercial
1974,"PUFFER, NORTHERN","9,100",4,"3,223","15,495",Public,Commercial
1974,"SALMON, CHINOOK",12,0,,,Public,Commercial
1974,"SALMON, COHO",113,0,,,Public,Commercial
1974,"SCALLOP, BAY","677,800",307,"848,390","4,078,798",Public,Commercial
1974,"SCALLOP, SEA","205,500",93,"310,225","1,491,466",Public,Commercial
1974,SEAROBINS **,"42,400",19,"3,298","15,856",Public,Commercial
1974,"SHAD, AMERICAN","164,000",74,"44,279","212,880",Public,Commercial
1974,"SHAD, GIZZARD","12,000",5,,,Public,Commercial
1974,"SHARKS, CHONDRICHTHYES (CLASS) **","3,800",2,612,"2,942",Public,Commercial
1974,"SHARKS, DOGFISH **","175,900",80,"12,762","61,356",Public,Commercial
1974,SHEEPSHEAD,"4,500",2,270,"1,298",Public,Commercial
1974,"SILVERSIDES, ATHERINIDAE (FAMILY) **","83,200",38,"24,360","117,115",Public,Commercial
1974,"SKATES, RAJIDAE (FAMILY) **","32,300",15,"2,369","11,389",Public,Commercial
1974,"SMELT, RAINBOW","15,773",7,"6,775","32,572",Public,Commercial
1974,"SQUIDS, LOLIGINIDAE **","963,800",437,"178,350","857,452",Public,Commercial
1974,STURGEONS **,"6,982",3,"2,242","10,779",Public,Commercial
1974,SUCKERS **,"33,187",15,"2,833","13,620",Public,Commercial
1974,SUNFISHES **,"24,001",11,"4,857","23,351",Public,Commercial
1974,SWORDFISH,"1,200",1,"1,469","7,063",Public,Commercial
1974,TARPON,100,0,16,77,Public,Commercial
1974,TAUTOG,"55,200",25,"4,231","20,341",Public,Commercial
1974,"TILEFISH, GOLDEN","48,800",22,"22,445","107,909",Public,Commercial
1974,"TOMCOD, ATLANTIC",800,0,62,298,Public,Commercial
1974,"TROUT, BROOK",2,0,,,Public,Commercial
1974,"TROUT, BROWN",6,0,,,Public,Commercial
1974,"TROUT, LAKE",7,0,,,Public,Commercial
1974,"TROUT, RAINBOW",17,0,,,Public,Commercial
1974,"TUNA, BLUEFIN","9,900",4,"4,014","19,298",Public,Commercial
1974,"TUNA, LITTLE TUNNY","6,600",3,"1,055","5,072",Public,Commercial
1974,TUNAS **,700,0,130,625,Public,Commercial
1974,"VERTEBRATES, JAWED",2,0,,,Public,Commercial
1974,WALLEYE,"106,697",48,"59,078","284,029",Public,Commercial
1974,WEAKFISH,"1,426,800",647,"340,607","1,637,534",Public,Commercial
1974,"WHITEFISH, LAKE","2,141",1,411,"1,976",Public,Commercial
1975,ALEWIFE,"15,300",7,"1,381","6,084",Public,Commercial
1975,"BASS, BLACK SEA","130,500",59,"56,025","246,806",Public,Commercial
1975,"BASS, ROCK","15,049",7,"2,936","12,934",Public,Commercial
1975,"BASS, STRIPED","1,183,700",537,"636,125","2,802,313",Public,Commercial
1975,"BASS, WHITE","6,520",3,"1,322","5,824",Public,Commercial
1975,BLUEFISH,"889,500",403,"166,929","735,370",Public,Commercial
1975,"BONITO, ATLANTIC","37,000",17,"8,050","35,463",Public,Commercial
1975,"BULLHEAD, BROWN","50,007",23,"26,684","117,551",Public,Commercial
1975,BURBOT,231,0,,,Public,Commercial
1975,"CARP, COMMON","31,710",14,"8,912","39,260",Public,Commercial
1975,"CATFISH, CHANNEL","1,574",1,383,"1,687",Public,Commercial
1975,"CATFISHES, FORKTAIL **",400,0,103,454,Public,Commercial
1975,"CATFISHES-BULLHEADS, OTHER **","3,900",2,617,"2,718",Public,Commercial
1975,"CLAM, RAZOR, ATLANTIC","3,000",1,"1,076","4,740",Public,Commercial
1975,"CLAM, SOFT","62,600",28,"76,307","336,154",Public,Commercial
1975,"CLAM, SURF, ATLANTIC","4,579,600","2,077","768,088","3,383,648",Public,Commercial
1975,"CLAMS, QUAHOG, MERCENARIA **","8,667,500","3,932","14,301,382","63,001,683",Public,Commercial
1975,"COD, ATLANTIC","430,600",195,"140,534","619,093",Public,Commercial
1975,"CONCHS, TRUE **","108,900",49,"37,850","166,740",Public,Commercial
1975,"CRAB, BLUE","16,000",7,"4,000","17,621",Public,Commercial
1975,"CRAB, JONAH","18,000",8,"5,400","23,789",Public,Commercial
1975,CRAPPIES **,"6,262",3,"1,923","8,472",Public,Commercial
1975,"DRUM, FRESHWATER","69,922",32,"3,571","15,731",Public,Commercial
1975,"EEL, AMERICAN","131,604",60,"54,754","241,208",Public,Commercial
1975,"EEL, CONGER","4,400",2,"1,058","4,661",Public,Commercial
1975,"FLOUNDER, AMERICAN PLAICE","10,000",5,"1,320","5,815",Public,Commercial
1975,"FLOUNDER, SUMMER","3,233,000","1,466","1,282,905","5,651,564",Public,Commercial
1975,"FLOUNDER, WINTER","585,700",266,"118,693","522,877",Public,Commercial
1975,"FLOUNDER, WITCH","14,500",7,"4,943","21,775",Public,Commercial
1975,"FLOUNDER, YELLOWTAIL","1,309,500",594,"345,342","1,521,330",Public,Commercial
1975,GARFISHES **,2,0,,,Public,Commercial
1975,GOOSEFISH,"78,900",36,"12,742","56,132",Public,Commercial
1975,HADDOCK,900,0,388,"1,709",Public,Commercial
1975,"HAKE, RED","250,000",113,"21,046","92,714",Public,Commercial
1975,"HAKE, SILVER","2,599,300","1,179","344,855","1,519,185",Public,Commercial
1975,"HAKE, WHITE","2,700",1,586,"2,581",Public,Commercial
1975,HARVESTFISHES **,"1,238,900",562,"326,782","1,439,568",Public,Commercial
1975,"HERRING, ATLANTIC","124,200",56,"10,858","47,833",Public,Commercial
1975,"HERRING, LAKE OR CISCO",52,0,20,88,Public,Commercial
1975,KINGFISHES **,200,0,63,278,Public,Commercial
1975,"LANCE, AMERICAN SAND","26,300",12,"5,737","25,273",Public,Commercial
1975,"LOBSTER, AMERICAN","669,300",304,"1,399,796","6,166,502",Public,Commercial
1975,"MACKEREL, ATLANTIC","356,800",162,"63,076","277,868",Public,Commercial
1975,"MACKEREL, SPANISH",400,0,60,264,Public,Commercial
1975,MENHADENS **,"1,076,400",488,"42,135","185,617",Public,Commercial
1975,"MUSSEL, SEA","105,600",48,"45,084","198,608",Public,Commercial
1975,"OYSTER, EASTERN","2,106,800",956,"5,176,007","22,801,793",Public,Commercial
1975,"PERCH, WHITE","117,858",53,"30,023","132,260",Public,Commercial
1975,"PERCH, YELLOW","205,928",93,"93,348","411,224",Public,Commercial
1975,POLLOCK,"5,000",2,804,"3,542",Public,Commercial
1975,PORGIES **,"3,831,200","1,738","1,076,649","4,742,947",Public,Commercial
1975,"PUFFER, NORTHERN","5,600",3,"2,320","10,220",Public,Commercial
1975,"SALMON, CHINOOK",21,0,,,Public,Commercial
1975,"SALMON, COHO",108,0,,,Public,Commercial
1975,"SCALLOP, BAY","444,100",201,"713,044","3,141,163",Public,Commercial
1975,"SCALLOP, SEA","269,900",122,"388,752","1,712,564",Public,Commercial
1975,SEAROBINS **,"44,800",20,"4,149","18,278",Public,Commercial
1975,"SHAD, AMERICAN","196,500",89,"78,499","345,811",Public,Commercial
1975,"SHAD, GIZZARD","2,056",1,41,181,Public,Commercial
1975,"SHARKS, CHONDRICHTHYES (CLASS) **","7,900",4,"1,643","7,238",Public,Commercial
1975,"SHARKS, DOGFISH **","222,900",101,"36,434","160,502",Public,Commercial
1975,"SILVERSIDES, ATHERINIDAE (FAMILY) **","78,500",36,"28,010","123,392",Public,Commercial
1975,"SKATES, RAJIDAE (FAMILY) **","71,500",32,"9,339","41,141",Public,Commercial
1975,"SMELT, RAINBOW","29,468",13,"13,382","58,951",Public,Commercial
1975,"SQUIDS, LOLIGINIDAE **","568,900",258,"134,070","590,617",Public,Commercial
1975,STURGEONS **,"6,049",3,"1,248","5,498",Public,Commercial
1975,SUCKERS **,"34,663",16,"2,752","12,124",Public,Commercial
1975,SUNFISHES **,"26,164",12,"4,993","21,996",Public,Commercial
1975,TAUTOG,"110,700",50,"10,972","48,335",Public,Commercial
1975,"TILEFISH, GOLDEN","5,000",2,"1,356","5,974",Public,Commercial
1975,"TOMCOD, ATLANTIC",300,0,30,132,Public,Commercial
1975,"TROUT, BROWN",38,0,,,Public,Commercial
1975,"TROUT, LAKE",75,0,,,Public,Commercial
1975,"TROUT, RAINBOW",20,0,,,Public,Commercial
1975,"TUNA, BLUEFIN","9,900",4,"3,558","15,674",Public,Commercial
1975,"VERTEBRATES, JAWED",3,0,,,Public,Commercial
1975,WALLEYE,"110,011",50,"64,158","282,634",Public,Commercial
1975,WEAKFISH,"1,367,700",620,"296,318","1,305,366",Public,Commercial
1975,"WHITEFISH, LAKE",9,0,,,Public,Commercial
1975,"WOLFFISH, ATLANTIC",500,0,40,176,Public,Commercial
1976,ALEWIFE,"1,500",1,146,608,Public,Commercial
1976,"BASS, BLACK SEA","272,200",123,"99,629","415,121",Public,Commercial
1976,"BASS, ROCK","8,896",4,"1,774","7,392",Public,Commercial
1976,"BASS, STRIPED","850,900",386,"516,582","2,152,425",Public,Commercial
1976,"BASS, WHITE","7,512",3,"2,018","8,408",Public,Commercial
1976,BLUEFISH,"600,200",272,"102,245","426,021",Public,Commercial
1976,"BONITO, ATLANTIC","4,300",2,"1,089","4,538",Public,Commercial
1976,BOWFIN,5,0,,,Public,Commercial
1976,"BULLHEAD, BROWN","30,817",14,"15,258","63,575",Public,Commercial
1976,BURBOT,8,0,,,Public,Commercial
1976,"CARP, COMMON","65,543",30,"10,948","45,617",Public,Commercial
1976,"CATFISH, CHANNEL","3,291",1,802,"3,342",Public,Commercial
1976,"CATFISHES-BULLHEADS, OTHER **","2,400",1,470,"1,958",Public,Commercial
1976,"CLAM, RAZOR, ATLANTIC","2,100",1,858,"3,575",Public,Commercial
1976,"CLAM, SOFT","46,500",21,"61,406","255,858",Public,Commercial
1976,"CLAM, SURF, ATLANTIC","3,454,800","1,567","1,089,204","4,538,350",Public,Commercial
1976,"CLAMS, QUAHOG, MERCENARIA **","9,028,400","4,095","18,120,264","75,501,100",Public,Commercial
1976,"COD, ATLANTIC","686,000",311,"199,937","833,071",Public,Commercial
1976,"CONCHS, TRUE **","89,300",41,"30,396","126,650",Public,Commercial
1976,"CRAB, BLUE","52,300",24,"19,845","82,688",Public,Commercial
1976,"CRAB, JONAH","107,300",49,"32,190","134,125",Public,Commercial
1976,CRAPPIES **,"12,974",6,"2,952","12,300",Public,Commercial
1976,CUNNER,100,0,10,42,Public,Commercial
1976,CUSK,"1,100",0,150,625,Public,Commercial
1976,"DRUM, FRESHWATER","70,753",32,"8,805","36,688",Public,Commercial
1976,"EEL, AMERICAN","162,617",74,"82,139","342,246",Public,Commercial
1976,"EEL, CONGER","2,600",1,393,"1,638",Public,Commercial
1976,FLATFISHES **,"35,300",16,"3,937","16,404",Public,Commercial
1976,"FLOUNDER, AMERICAN PLAICE",600,0,148,617,Public,Commercial
1976,"FLOUNDER, SUMMER","3,202,600","1,453","1,499,781","6,249,088",Public,Commercial
1976,"FLOUNDER, WINTER","716,300",325,"145,813","607,554",Public,Commercial
1976,"FLOUNDER, WITCH","6,200",3,"1,732","7,217",Public,Commercial
1976,"FLOUNDER, YELLOWTAIL","594,600",270,"168,068","700,283",Public,Commercial
1976,GOLDFISH,800,0,600,"2,500",Public,Commercial
1976,GOOSEFISH,"78,200",35,"15,792","65,800",Public,Commercial
1976,HADDOCK,"7,000",3,"2,878","11,992",Public,Commercial
1976,"HAKE, RED","309,000",140,"25,869","107,788",Public,Commercial
1976,"HAKE, SILVER","2,546,000","1,155","289,655","1,206,896",Public,Commercial
1976,"HAKE, WHITE","6,800",3,"1,077","4,488",Public,Commercial
1976,HARVESTFISHES **,"959,400",435,"273,954","1,141,475",Public,Commercial
1976,"HERRING, ATLANTIC","26,300",12,"2,838","11,825",Public,Commercial
1976,"HERRING, LAKE OR CISCO",53,0,21,88,Public,Commercial
1976,KINGFISHES **,"1,400",1,197,821,Public,Commercial
1976,"LANCE, AMERICAN SAND","38,800",18,"6,853","28,554",Public,Commercial
1976,"LOBSTER, AMERICAN","593,100",269,"1,338,484","5,577,017",Public,Commercial
1976,"MACKEREL, ATLANTIC","249,100",113,"39,517","164,654",Public,Commercial
1976,"MACKEREL, SPANISH",600,0,108,450,Public,Commercial
1976,MENHADENS **,"1,013,500",460,"43,013","179,221",Public,Commercial
1976,"MULLET, STRIPED","1,000",0,178,742,Public,Commercial
1976,"MUSSEL, SEA","84,900",39,"36,509","152,121",Public,Commercial
1976,"OYSTER, EASTERN","1,901,000",862,"4,763,957","19,849,820",Public,Commercial
1976,"PERCH, WHITE","104,533",47,"28,313","117,971",Public,Commercial
1976,"PERCH, YELLOW","200,929",91,"137,460","572,750",Public,Commercial
1976,POLLOCK,"5,200",2,940,"3,917",Public,Commercial
1976,PORGIES **,"2,467,900","1,119","579,588","2,414,950",Public,Commercial
1976,"PUFFER, NORTHERN","7,300",3,"5,812","24,217",Public,Commercial
1976,"SALMON, ATLANTIC",100,0,16,67,Public,Commercial
1976,"SALMON, COHO",166,0,,,Public,Commercial
1976,SAUGER,4,0,,,Public,Commercial
1976,"SCALLOP, BAY","438,000",199,"816,372","3,401,550",Public,Commercial
1976,"SCALLOP, SEA","757,900",344,"1,235,653","5,148,554",Public,Commercial
1976,SEAROBINS **,"38,200",17,"3,094","12,892",Public,Commercial
1976,"SHAD, AMERICAN","185,800",84,"59,293","247,054",Public,Commercial
1976,"SHAD, GIZZARD","4,980",2,,,Public,Commercial
1976,"SHARKS, CHONDRICHTHYES (CLASS) **","7,200",3,"1,386","5,775",Public,Commercial
1976,"SHARKS, DOGFISH **","205,800",93,"21,634","90,142",Public,Commercial
1976,"SILVERSIDES, ATHERINIDAE (FAMILY) **","67,200",30,"25,222","105,092",Public,Commercial
1976,"SKATES, RAJIDAE (FAMILY) **","48,700",22,"8,217","34,238",Public,Commercial
1976,"SMELT, RAINBOW","21,504",10,"9,969","41,538",Public,Commercial
1976,SPOT,"3,100",1,703,"2,929",Public,Commercial
1976,"SQUIDS, LOLIGINIDAE **","1,107,600",502,"224,815","936,729",Public,Commercial
1976,STURGEONS **,"4,213",2,"1,008","4,200",Public,Commercial
1976,SUCKERS **,"20,772",9,"1,298","5,408",Public,Commercial
1976,SUNFISHES **,"11,895",5,"2,759","11,496",Public,Commercial
1976,TAUTOG,"71,400",32,"7,207","30,029",Public,Commercial
1976,"TILEFISH, GOLDEN","50,400",23,"19,782","82,425",Public,Commercial
1976,"TROUT, BROWN",31,0,,,Public,Commercial
1976,"TROUT, LAKE",32,0,,,Public,Commercial
1976,"TROUT, RAINBOW",40,0,,,Public,Commercial
1976,"TUNA, BLUEFIN",700,0,276,"1,150",Public,Commercial
1976,"TUNA, LITTLE TUNNY","1,300",1,474,"1,975",Public,Commercial
1976,"TURTLES, SNAPPING",200,0,56,233,Public,Commercial
1976,"VERTEBRATES, JAWED",9,0,,,Public,Commercial
1976,WALLEYE,"66,704",30,"48,461","201,921",Public,Commercial
1976,WEAKFISH,"1,345,400",610,"303,979","1,266,579",Public,Commercial
1976,"WHITEFISH, LAKE",8,0,,,Public,Commercial
1976,"WOLFFISH, ATLANTIC",400,0,60,250,Public,Commercial
1977,ALEWIFE,"6,000",3,970,"3,804",Public,Commercial
1977,"BASS, BLACK SEA","231,800",105,"113,303","444,325",Public,Commercial
1977,"BASS, ROCK","12,353",6,"3,130","12,275",Public,Commercial
1977,"BASS, STRIPED","766,100",348,"637,392","2,499,576",Public,Commercial
1977,"BASS, WHITE","5,822",3,"1,500","5,882",Public,Commercial
1977,BLUEFISH,"985,600",447,"194,899","764,310",Public,Commercial
1977,"BONITO, ATLANTIC","50,900",23,"13,830","54,235",Public,Commercial
1977,BOWFIN,179,0,,,Public,Commercial
1977,"BULLHEAD, BROWN","45,943",21,"18,100","70,980",Public,Commercial
1977,BURBOT,6,0,,,Public,Commercial
1977,"CARP, COMMON","26,059",12,"4,618","18,110",Public,Commercial
1977,"CATFISH, CHANNEL","1,566",1,73,286,Public,Commercial
1977,"CATFISHES-BULLHEADS, OTHER **","11,100",5,"3,886","15,239",Public,Commercial
1977,"CLAM, RAZOR, ATLANTIC","4,100",2,"1,468","5,757",Public,Commercial
1977,"CLAM, SOFT","31,100",14,"45,684","179,153",Public,Commercial
1977,"CLAM, SURF, ATLANTIC","3,425,000","1,554","1,108,029","4,345,212",Public,Commercial
1977,"CLAMS, QUAHOG, MERCENARIA **","8,530,100","3,869","18,062,898","70,834,894",Public,Commercial
1977,"COD, ATLANTIC","582,700",264,"224,192","879,184",Public,Commercial
1977,"CONCHS, TRUE **","86,500",39,"38,614","151,427",Public,Commercial
1977,"CRAB, ATLANTIC ROCK","1,600",1,342,"1,341",Public,Commercial
1977,"CRAB, BLUE","12,800",6,"5,760","22,588",Public,Commercial
1977,"CRAB, JONAH","285,500",130,"82,690","324,275",Public,Commercial
1977,CRAPPIES **,"4,136",2,"2,395","9,392",Public,Commercial
1977,CUNNER,800,0,80,314,Public,Commercial
1977,CUSK,"1,400",1,181,710,Public,Commercial
1977,DOLPHINFISH **,100,0,20,78,Public,Commercial
1977,"DRUM, FRESHWATER","21,829",10,,,Public,Commercial
1977,"EEL, AMERICAN","112,028",51,"41,920","164,392",Public,Commercial
1977,"EEL, CONGER","15,000",7,"1,967","7,714",Public,Commercial
1977,FLATFISHES **,"25,700",12,"4,278","16,776",Public,Commercial
1977,"FLOUNDER, AMERICAN PLAICE","9,900",4,"2,274","8,918",Public,Commercial
1977,"FLOUNDER, SUMMER","2,147,000",974,"1,306,243","5,122,522",Public,Commercial
1977,"FLOUNDER, WINTER","1,020,700",463,"275,857","1,081,792",Public,Commercial
1977,"FLOUNDER, WITCH","12,100",5,"4,188","16,424",Public,Commercial
1977,"FLOUNDER, YELLOWTAIL","496,400",225,"172,764","677,506",Public,Commercial
1977,GOLDFISH,500,0,250,980,Public,Commercial
1977,GOOSEFISH,"77,800",35,"19,081","74,827",Public,Commercial
1977,HADDOCK,"6,500",3,"3,173","12,443",Public,Commercial
1977,"HAKE, RED","221,700",101,"30,014","117,702",Public,Commercial
1977,"HAKE, SILVER","2,105,300",955,"357,576","1,402,259",Public,Commercial
1977,"HAKE, WHITE","3,100",1,755,"2,961",Public,Commercial
1977,HARVESTFISHES **,"649,800",295,"214,916","842,808",Public,Commercial
1977,"HERRING, ATLANTIC","17,000",8,"1,926","7,553",Public,Commercial
1977,"HERRING, LAKE OR CISCO",80,0,,,Public,Commercial
1977,KINGFISHES **,"1,100",0,225,882,Public,Commercial
1977,"LANCE, AMERICAN SAND","31,400",14,"8,009","31,408",Public,Commercial
1977,"LOBSTER, AMERICAN","530,700",241,"1,194,783","4,685,424",Public,Commercial
1977,"MACKEREL, ATLANTIC","560,500",254,"94,717","371,439",Public,Commercial
1977,MENHADENS **,"851,300",386,"42,106","165,122",Public,Commercial
1977,"MULLET, STRIPED","1,100",0,242,949,Public,Commercial
1977,"MUSSEL, SEA","181,500",82,"88,866","348,494",Public,Commercial
1977,"OYSTER, EASTERN","1,060,100",481,"2,679,401","10,507,455",Public,Commercial
1977,"PERCH, WHITE","169,978",77,"48,952","191,968",Public,Commercial
1977,"PERCH, YELLOW","207,990",94,"106,277","416,773",Public,Commercial
1977,POLLOCK,"19,000",9,"3,159","12,388",Public,Commercial
1977,PORGIES **,"3,346,800","1,518","923,953","3,623,345",Public,Commercial
1977,"POUT, OCEAN","1,500",1,270,"1,059",Public,Commercial
1977,"PUFFER, NORTHERN","7,500",3,"6,309","24,741",Public,Commercial
1977,"SALMON, COHO",238,0,,,Public,Commercial
1977,"SCALLOP, BAY","199,000",90,"488,876","1,917,161",Public,Commercial
1977,"SCALLOP, SEA","613,800",278,"993,429","3,895,800",Public,Commercial
1977,SEAROBINS **,"60,800",28,"6,387","25,047",Public,Commercial
1977,"SHAD, AMERICAN","121,600",55,"41,259","161,800",Public,Commercial
1977,"SHAD, GIZZARD",206,0,,,Public,Commercial
1977,"SHARKS, CHONDRICHTHYES (CLASS) **","9,000",4,"2,780","10,902",Public,Commercial
1977,"SHARKS, DOGFISH **","172,100",78,"26,818","105,169",Public,Commercial
1977,"SILVERSIDES, ATHERINIDAE (FAMILY) **","32,400",15,"12,093","47,424",Public,Commercial
1977,"SKATES, RAJIDAE (FAMILY) **","43,600",20,"7,474","29,310",Public,Commercial
1977,"SMELT, RAINBOW","20,427",9,"9,851","38,631",Public,Commercial
1977,SPOT,"5,600",3,"1,267","4,969",Public,Commercial
1977,"SQUIDS, LOLIGINIDAE **","484,200",220,"223,226","875,396",Public,Commercial
1977,STURGEONS **,"18,400",8,"6,739","26,427",Public,Commercial
1977,SUCKERS **,"24,778",11,596,"2,337",Public,Commercial
1977,SUNFISHES **,"18,169",8,"4,248","16,658",Public,Commercial
1977,SWORDFISH,"26,500",12,"37,229","145,996",Public,Commercial
1977,TAUTOG,"96,700",44,"10,465","41,039",Public,Commercial
1977,"TILEFISH, GOLDEN","691,400",314,"274,357","1,075,910",Public,Commercial
1977,"TROUT, BROWN",105,0,,,Public,Commercial
1977,"TROUT, LAKE",42,0,,,Public,Commercial
1977,"TROUT, RAINBOW",19,0,,,Public,Commercial
1977,"TUNA, BLUEFIN","40,900",19,"26,698","104,698",Public,Commercial
1977,"TUNA, LITTLE TUNNY","17,700",8,"3,826","15,004",Public,Commercial
1977,"VERTEBRATES, JAWED","19,000",9,760,"2,980",Public,Commercial
1977,WALLEYE,"70,863",32,"48,075","188,529",Public,Commercial
1977,WEAKFISH,"1,708,200",775,"421,625","1,653,431",Public,Commercial
1977,"WHITEFISH, LAKE",3,0,,,Public,Commercial
1978,ALEWIFE,700,0,119,436,Public,Commercial
1978,"BASS, BLACK SEA","167,700",76,"127,408","466,696",Public,Commercial
1978,"BASS, ROCK","14,166",6,"3,606","13,208",Public,Commercial
1978,"BASS, STRIPED","1,122,200",509,"1,295,045","4,743,755",Public,Commercial
1978,"BASS, WHITE","22,961",10,"3,733","13,674",Public,Commercial
1978,BLUEFISH,"1,746,500",792,"345,305","1,264,853",Public,Commercial
1978,"BONITO, ATLANTIC","86,600",39,"28,373","103,930",Public,Commercial
1978,"BULLHEAD, BROWN","38,245",17,"18,834","68,989",Public,Commercial
1978,BURBOT,13,0,,,Public,Commercial
1978,"CARP, COMMON","15,167",7,"3,492","12,792",Public,Commercial
1978,"CATFISH, CHANNEL",401,0,123,451,Public,Commercial
1978,"CATFISHES-BULLHEADS, OTHER **","4,600",2,"1,649","6,040",Public,Commercial
1978,"CLAM, RAZOR, ATLANTIC","3,000",1,"1,397","5,117",Public,Commercial
1978,"CLAM, SOFT","28,200",13,"43,554","159,538",Public,Commercial
1978,"CLAM, SURF, ATLANTIC","2,398,500","1,088","776,049","2,842,670",Public,Commercial
1978,"CLAMS, QUAHOG, MERCENARIA **","7,257,000","3,292","17,701,311","64,839,967",Public,Commercial
1978,"COD, ATLANTIC","460,800",209,"195,769","717,103",Public,Commercial
1978,"CONCHS, TRUE **","83,700",38,"57,414","210,308",Public,Commercial
1978,"CRAB, ATLANTIC ROCK","7,600",3,"1,830","6,703",Public,Commercial
1978,"CRAB, BLUE","1,400",1,700,"2,564",Public,Commercial
1978,"CRAB, JONAH","253,100",115,"37,953","139,022",Public,Commercial
1978,CRAPPIES **,"1,554",1,813,"2,978",Public,Commercial
1978,CUNNER,200,0,23,84,Public,Commercial
1978,CUSK,"1,000",0,160,586,Public,Commercial
1978,DOLPHINFISH **,200,0,50,183,Public,Commercial
1978,"DRUM, FRESHWATER","9,352",4,954,"3,495",Public,Commercial
1978,"EEL, AMERICAN","148,603",67,"109,811","402,238",Public,Commercial
1978,"EEL, CONGER","12,400",6,"2,224","8,147",Public,Commercial
1978,FLATFISHES **,"28,900",13,"5,324","19,502",Public,Commercial
1978,"FLOUNDER, AMERICAN PLAICE","1,300",1,250,916,Public,Commercial
1978,"FLOUNDER, SUMMER","1,947,900",884,"1,445,785","5,295,916",Public,Commercial
1978,"FLOUNDER, WINTER","1,302,000",591,"494,371","1,810,883",Public,Commercial
1978,"FLOUNDER, WITCH","4,100",2,"1,900","6,960",Public,Commercial
1978,"FLOUNDER, YELLOWTAIL","525,400",238,"244,166","894,381",Public,Commercial
1978,GOLDFISH,200,0,82,300,Public,Commercial
1978,GOOSEFISH,"125,700",57,"34,209","125,308",Public,Commercial
1978,"HAKE, RED","525,600",238,"76,208","279,150",Public,Commercial
1978,"HAKE, SILVER","4,711,600","2,137","895,738","3,281,092",Public,Commercial
1978,"HAKE, WHITE","6,100",3,"1,637","5,996",Public,Commercial
1978,"HALIBUT, ATLANTIC",100,0,114,418,Public,Commercial
1978,HARVESTFISHES **,"926,100",420,"353,629","1,295,344",Public,Commercial
1978,"HERRING, ATLANTIC","28,600",13,"3,566","13,062",Public,Commercial
1978,KINGFISHES **,200,0,23,84,Public,Commercial
1978,"LANCE, AMERICAN SAND","47,000",21,"9,331","34,179",Public,Commercial
1978,"LOBSTER, AMERICAN","581,900",264,"1,453,586","5,324,491",Public,Commercial
1978,"MACKEREL, ATLANTIC","510,800",232,"127,037","465,337",Public,Commercial
1978,MENHADENS **,"239,600",109,"12,556","45,993",Public,Commercial
1978,"MULLET, STRIPED",400,0,95,348,Public,Commercial
1978,"MUSSEL, SEA","316,500",144,"172,412","631,546",Public,Commercial
1978,"OYSTER, EASTERN","797,400",362,"2,332,723","8,544,772",Public,Commercial
1978,"PERCH, WHITE","106,736",48,"33,697","123,432",Public,Commercial
1978,"PERCH, YELLOW","137,256",62,"75,997","278,377",Public,Commercial
1978,POLLOCK,"23,800",11,"5,155","18,883",Public,Commercial
1978,PORGIES **,"3,616,900","1,641","1,395,464","5,111,590",Public,Commercial
1978,"PUFFER, NORTHERN","29,000",13,"9,506","34,821",Public,Commercial
1978,REPTILES,"4,400",2,660,"2,418",Public,Commercial
1978,"SALMON, COHO",595,0,,,Public,Commercial
1978,"SCALLOP, BAY","280,300",127,"836,922","3,065,648",Public,Commercial
1978,"SCALLOP, SEA","277,200",126,"646,047","2,366,473",Public,Commercial
1978,SEAROBINS **,"59,800",27,"6,213","22,758",Public,Commercial
1978,"SHAD, AMERICAN","308,500",140,"77,247","282,956",Public,Commercial
1978,"SHAD, GIZZARD","1,256",1,,,Public,Commercial
1978,"SHARKS, CHONDRICHTHYES (CLASS) **","7,300",3,"3,543","12,978",Public,Commercial
1978,"SHARKS, DOGFISH **","194,300",88,"30,948","113,363",Public,Commercial
1978,"SILVERSIDES, ATHERINIDAE (FAMILY) **","28,900",13,"13,564","49,685",Public,Commercial
1978,"SKATES, RAJIDAE (FAMILY) **","105,300",48,"16,744","61,333",Public,Commercial
1978,"SMELT, RAINBOW","45,152",20,"23,227","85,081",Public,Commercial
